GPU modelis: GeForce GT 210, Dzinēja ātrums (GPU speed): 589 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 1 GB, Atmiņas tehnoloģija: DDR2, Dzesēšana: Standard Cooler, Cena: 45.16
GPU modelis: GeForce GT 220, Dzinēja ātrums (GPU speed): 625 MHz, Operatīvā atmiņa: 1 GB, Atmiņas tehnoloģija: DDR3, Dzesēšana: Standard Cooler, Cena: 51.14
GPU modelis: GeForce GT 710, Dzinēja ātrums (GPU speed): 954 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: SDDR3, Dzesēšana: Passive, Cena: 56.17
GPU modelis: GeForce GT 710, Dzinēja ātrums (GPU speed): 954 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR3, Dzesēšana: Passive, Cena: 57.84
GPU modelis: GeForce GT 710, Dzinēja ātrums (GPU speed): 954 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 66.13
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 700 MHz, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: DDR3, Dzesēšana: Standard Cooler, Cena: 67.18
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: DDR3, Dzesēšana: Standard Cooler, Cena: 69.97
GPU modelis: GeForce GT 710, Dzinēja ātrums (GPU speed): 954 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR3, Dzesēšana: Passive, Cena: 71.35
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR3, Dzesēšana: Standard Cooler, Cena: 72.31
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR3, Dzesēšana: Passive, Cena: 82.93
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR3, Dzesēšana: Standard Cooler, Cena: 87.18
